Student,LPIPS,SSIM
113590045.png,0.0,1.0
113AB0018.png,0.27209174633026123,0.5962908229449241
113590051.png,0.27330949902534485,0.6822042682089478
112590452.png,0.2799356281757355,0.5820949948094771
113590001.png,0.28251349925994873,0.641136207519504
113590039.png,0.2848280072212219,0.6309955252773224
112590454.png,0.2877734899520874,0.5978798635724042
113590050.png,0.28781160712242126,0.5798649757822963
113590052.png,0.2910495400428772,0.5810494246335908
113590018.png,0.2912132740020752,0.551038306017739
113370239.png,0.2925334870815277,0.6538312758771482
112590040.png,0.2976472079753876,0.606309684522059
111590062.png,0.3006548583507538,0.6407330413964625
113590021.png,0.30126819014549255,0.6385389466900249
113590044.png,0.30356648564338684,0.6188020186201194
113590022.png,0.3039589822292328,0.6276031645278183
113590023.png,0.3074902594089508,0.5416107470638309
113590056.png,0.3090270459651947,0.6104601586205705
113590033.png,0.31686902046203613,0.6222073640890372
113AC1012.png,0.3209792375564575,0.5927487629225794
113590036.png,0.3221951425075531,0.5743696316946374
113590061.png,0.32419344782829285,0.6110271021246931
111590047.png,0.32621079683303833,0.6160558701656579
113590015.png,0.3296593427658081,0.576592214957247
113590028.png,0.33857589960098267,0.5393126287744641
113590026.png,0.34055712819099426,0.6259117086314833
113590450.png,0.3447910249233246,0.6402755328113062
113590031.png,0.345994770526886,0.5930657804528572
112590455.png,0.3477368652820587,0.595366064947885
113590060.png,0.35298436880111694,0.6370877543226344
110590455.png,0.357214093208313,0.6105444308623409
113590003.png,0.35845673084259033,0.6186847749201609
114054809.png,0.3597371578216553,0.585445915415415
113590062.png,0.36667105555534363,0.5292835078814215
113590011.png,0.367216557264328,0.5328050397974243
111590028.png,0.36850517988204956,0.6297221146868628
113590040.png,0.37027475237846375,0.6338296286355433
113590006.png,0.3724954426288605,0.53659247925177
113590049.png,0.37606266140937805,0.4934149881896849
113590002.png,0.3786892890930176,0.5657943315601365
113590059.png,0.38744914531707764,0.5070065078941844
113590032.png,0.39137810468673706,0.6389897083633164
113590005.png,0.40655308961868286,0.6523833600212332
113590057.png,0.4104955494403839,0.5422527871644368
113590047.png,0.42820867896080017,0.6451145072087004
113590042.png,0.4308501183986664,0.5206727532395505
113590004.png,0.43140876293182373,0.6484701672653953
113590008.png,0.4469658136367798,0.42928465301972113
112590058.jpg,0.4480086863040924,0.40369253668011496
113590043.png,0.46185973286628723,0.6477262783791911
113590025.png,0.46632814407348633,0.6615953274472306
113590010.png,0.46689069271087646,0.5393298650416118
111590455.png,0.48995476961135864,0.47093271870565745
111590042.png,0.49274760484695435,0.6583581477764109
113590013.png,0.5046882629394531,0.36048072853350055
